2019-05-06 12:24:19.572 [Thread-6                      ] [INFO ] - 收到消息type.googleapis.com/gos.pb.DamageInspection0 
2019-05-06 12:25:23.230 [Thread-6                      ] [INFO ] - 收到消息type.googleapis.com/gos.pb.DamageInspection1 
2019-05-06 12:25:23.230 [Thread-6                      ] [INFO ] - 收到消息type.googleapis.com/gos.pb.DamageInspection2 
2019-05-06 12:25:23.231 [Thread-6                      ] [INFO ] - 收到消息type.googleapis.com/gos.pb.DamageInspection3 
2019-05-06 12:25:23.231 [Thread-6                      ] [INFO ] - 收到消息type.googleapis.com/gos.pb.DamageInspection4 
2019-05-06 12:25:23.232 [Thread-6                      ] [INFO ] - 收到消息type.googleapis.com/gos.pb.DamageInspection5 
2019-05-06 12:25:23.236 [Thread-6                      ] [INFO ] - 收到消息type.googleapis.com/gos.pb.DamageInspection6 
2019-05-06 12:25:29.508 [Thread-6                      ] [INFO ] - 收到消息type.googleapis.com/gos.pb.DamageInspection7 
2019-05-06 12:25:39.509 [Thread-6                      ] [INFO ] - 收到消息type.googleapis.com/gos.pb.DamageInspection8 
2019-05-06 12:25:49.509 [Thread-6                      ] [INFO ] - 收到消息type.googleapis.com/gos.pb.DamageInspection9 
2019-05-06 12:25:59.511 [Thread-6                      ] [INFO ] - 收到消息type.googleapis.com/gos.pb.DamageInspection10 
2019-05-06 12:26:09.513 [Thread-6                      ] [INFO ] - 收到消息type.googleapis.com/gos.pb.DamageInspection11 
2019-05-06 12:26:19.516 [Thread-6                      ] [INFO ] - 收到消息type.googleapis.com/gos.pb.DamageInspection12 
